title,author,journal,citation,year,link
"Payroll Taxes, Firm Behavior, and Rent Sharing: Evidence from a Young Workers' Tax Cut in Sweden","E Saez, B Schoefer, D Seim","American Economic Review 109 (5), 1717-1763",298,,https://scholar.google.com/scholar?oi=bibs&cluster=333948930345556394&btnI=1&hl=en
Social Media and Mental Health,"L Braghieri, R Levy, A Makarin","American Economic Review 112 (11), 3660-3693",297,,https://scholar.google.com/scholar?oi=bibs&cluster=1809257252973038166&btnI=1&hl=en
Methods Matter: p-Hacking and Publication Bias in Causal Analysis in Economics,"A Brodeur, N Cook, A Heyes","American Economic Review 110 (11), 3634-3660",288,,https://scholar.google.com/scholar?oi=bibs&cluster=16192632572960219116&btnI=1&hl=en
The Political Legacy of Entertainment TV,"R Durante, P Pinotti, A Tesei","American Economic Review 109 (7), 2497-2530",285,,https://scholar.google.com/scholar?oi=bibs&cluster=6089364893352216789&btnI=1&hl=en
Tourism and Economic Development: Evidence from Mexico’s Coastline,"B Faber, C Gaubert","American Economic Review 109 (6), 2245-2293",284,,https://scholar.google.com/scholar?oi=bibs&cluster=8283449328003659321&btnI=1&hl=en
The Sources of Capital Misallocation,"JM David, V Venkateswaran","American Economic Review 109 (7), 2531-2567",284,,https://scholar.google.com/scholar?oi=bibs&cluster=14223107775272490700&btnI=1&hl=en
Testing the Waters: Behavior across Participant Pools,"E Snowberg, L Yariv","American Economic Review 111 (2), 687-719",281,,https://scholar.google.com/scholar?oi=bibs&cluster=13375913473457937549&btnI=1&hl=en
Patronage and Selection in Public Sector Organizations,"E Colonnelli, M Prem, E Teso","American Economic Review 110 (10), 3071-3099",275,,https://scholar.google.com/scholar?oi=bibs&cluster=4481654935425095916&btnI=1&hl=en
Building Nations through Shared Experiences: Evidence from African Football,"E Depetris-Chauvin, R Durante, F Campante","American Economic Review 110 (5), 1572-1602",274,,https://scholar.google.com/scholar?oi=bibs&cluster=2247119565205502563&btnI=1&hl=en
Alcohol and Self-Control: A Field Experiment in India,F Schilbach,"American Economic Review 109 (4), 1290-1322",269,,https://scholar.google.com/scholar?oi=bibs&cluster=9859191658864234220&btnI=1&hl=en
Fairness and Frictions: The Impact of Unequal Raises on Quit Behavior,"A Dube, L Giuliano, J Leonard","American Economic Review 109 (2), 620-663",267,,https://scholar.google.com/scholar?oi=bibs&cluster=4668020019454259072&btnI=1&hl=en
The Long-Term Effects of Management and Technology Transfers,M Giorcelli,"American Economic Review 109 (1), 121-152",262,,https://scholar.google.com/scholar?oi=bibs&cluster=11064341876322939577&btnI=1&hl=en
Aggregate Nominal Wage Adjustments: New Evidence from Administrative Payroll Data,"J Grigsby, E Hurst, A Yildirmaz","American Economic Review 111 (2), 428-471",261,,https://scholar.google.com/scholar?oi=bibs&cluster=5571586677178905890&btnI=1&hl=en
The Impact of Media Censorship: 1984 or Brave New World?,"Y Chen, DY Yang","American Economic Review 109 (6), 2294-2332",257,,https://scholar.google.com/scholar?oi=bibs&cluster=3930873435834415823&btnI=1&hl=en
On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,"E Field, R Pande, N Rigol, S Schaner, C Troyer Moore","American Economic Review 111 (7), 2342-2375",256,,https://scholar.google.com/scholar?oi=bibs&cluster=2368463541389053154&btnI=1&hl=en
Sources of Displaced Workers’ Long-Term Earnings Losses,"M Lachowska, A Mas, SA Woodbury","American Economic Review 110 (10), 3231-3266",255,,https://scholar.google.com/scholar?oi=bibs&cluster=9565137647974490033&btnI=1&hl=en
Employer Consolidation and Wages: Evidence from Hospitals,"E Prager, M Schmitt","American Economic Review 111 (2), 397-427",255,,https://scholar.google.com/scholar?oi=bibs&cluster=1218265647775938204&btnI=1&hl=en
The Production Relocation and Price Effects of US Trade Policy: The Case of Washing Machines,"A Flaaen, A Hortaçsu, F Tintelnot","American Economic Review 110 (7), 2103-2127",254,,https://scholar.google.com/scholar?oi=bibs&cluster=4355631159896116217&btnI=1&hl=en
Cities in Bad Shape: Urban Geometry in India,M Harari,"American Economic Review 110 (8), 2377-2421",254,,https://scholar.google.com/scholar?oi=bibs&cluster=3850058969841212917&btnI=1&hl=en
Wealth Distribution and Social Mobility in the US: A Quantitative Approach,"J Benhabib, A Bisin, M Luo","American Economic Review 109 (5), 1623-1647",253,,https://scholar.google.com/scholar?oi=bibs&cluster=6376634134482743379&btnI=1&hl=en
Nominal Wage Rigidity in Village Labor Markets,S Kaur,"American Economic Review 109 (10), 3585-3616",251,,https://scholar.google.com/scholar?oi=bibs&cluster=5872598567448784847&btnI=1&hl=en
Small and Large Firms over the Business Cycle,"N Crouzet, NR Mehrotra","American Economic Review 110 (11), 3549-3601",251,,https://scholar.google.com/scholar?oi=bibs&cluster=14472378643985326398&btnI=1&hl=en
"Multidimensional Skills, Sorting, and Human Capital Accumulation","J Lise, F Postel-Vinay","American Economic Review 110 (8), 2328-2376",247,,https://scholar.google.com/scholar?oi=bibs&cluster=16282035002566258049&btnI=1&hl=en
"Losing Prosociality in the Quest for Talent? Sorting, Selection, and Productivity in the Delivery of Public Services","N Ashraf, O Bandiera, E Davenport, SS Lee","American Economic Review 110 (5), 1355-1394",244,,https://scholar.google.com/scholar?oi=bibs&cluster=10546097556138956208&btnI=1&hl=en
Unity in Diversity? How Intergroup Contact Can Foster Nation Building,"S Bazzi, A Gaduh, AD Rothenberg, M Wong","American Economic Review 109 (11), 3978-4025",244,,https://scholar.google.com/scholar?oi=bibs&cluster=13964233275778711444&btnI=1&hl=en
A Few Bad Apples? Racial Bias in Policing,"F Goncalves, S Mello","American Economic Review 111 (5), 1406-1441",236,,https://scholar.google.com/scholar?oi=bibs&cluster=2194358690565355410&btnI=1&hl=en
Monopsony in the US Labor Market,"C Yeh, C Macaluso, B Hershbein","American Economic Review 112 (7), 2099-2138",236,,https://scholar.google.com/scholar?oi=bibs&cluster=12787279099773141876&btnI=1&hl=en
"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services","M Akhtari, D Moreira, L Trucco","American Economic Review 112 (2), 442-493",233,,https://scholar.google.com/scholar?oi=bibs&cluster=12448103014786842590&btnI=1&hl=en
The Macroeconomic Effects of Oil Supply News: Evidence from OPEC Announcements,DR Känzig,"American Economic Review 111 (4), 1092-1125",232,,https://scholar.google.com/scholar?oi=bibs&cluster=9489363581513546514&btnI=1&hl=en
Forced Migration and Human Capital: Evidence from Post-WWII Population Transfers,"SO Becker, I Grosfeld, P Grosjean, N Voigtländer, E Zhuravskaya","American Economic Review 110 (5), 1430-1463",231,,https://scholar.google.com/scholar?oi=bibs&cluster=13429009754578798935&btnI=1&hl=en
Self-Fulfilling Debt Crises: A Quantitative Analysis,"L Bocola, A Dovis","American Economic Review 109 (12), 4343-4377",231,,https://scholar.google.com/scholar?oi=bibs&cluster=17971718041812386657&btnI=1&hl=en
Interest Rates under Falling Stars,"MD Bauer, GD Rudebusch","American Economic Review 110 (5), 1316-1354",230,,https://scholar.google.com/scholar?oi=bibs&cluster=10930348231046328717&btnI=1&hl=en
Public Procurement in Law and Practice,"E Bosio, S Djankov, E Glaeser, A Shleifer","American Economic Review 112 (4), 1091-1117",229,,https://scholar.google.com/scholar?oi=bibs&cluster=9591306174646006195&btnI=1&hl=en
Arrival of Young Talent: The Send-Down Movement and Rural Education in China,"Y Chen, Z Fan, X Gu, LA Zhou","American Economic Review 110 (11), 3393-3430",228,,https://scholar.google.com/scholar?oi=bibs&cluster=6802364039852524977&btnI=1&hl=en
The Effects of Income Transparency on Well-Being: Evidence from a Natural Experiment,R Perez-Truglia,"American Economic Review 110 (4), 1019-1054",226,,https://scholar.google.com/scholar?oi=bibs&cluster=18250003443493036506&btnI=1&hl=en
Expecting the Unexpected: Emissions Uncertainty and Environmental Market Design,"S Borenstein, J Bushnell, FA Wolak, M Zaragoza-Watkins","American Economic Review 109 (11), 3953-3977",224,,https://scholar.google.com/scholar?oi=bibs&cluster=10150093477592450623&btnI=1&hl=en
The Effect of High-Tech Clusters on the Productivity of Top Inventors,E Moretti,"American Economic Review 111 (10), 3328-3375",223,,https://scholar.google.com/scholar?oi=bibs&cluster=13451614284021158976&btnI=1&hl=en
Online Privacy and Information Disclosure by Consumers,S Ichihashi,"American Economic Review 110 (2), 569-595",223,,https://scholar.google.com/scholar?oi=bibs&cluster=3303243538338373407&btnI=1&hl=en
Subsidizing Health Insurance for Low-Income Adults: Evidence from Massachusetts,"A Finkelstein, N Hendren, M Shepard","American Economic Review 109 (4), 1530-1567",219,,https://scholar.google.com/scholar?oi=bibs&cluster=1272962969242424260&btnI=1&hl=en
Business-Cycle Anatomy,"GM Angeletos, F Collard, H Dellas","American Economic Review 110 (10), 3030-3070",219,,https://scholar.google.com/scholar?oi=bibs&cluster=17761674989053511508&btnI=1&hl=en
